item_name,item_url
"MamyPoko Pants Extra Absorb Diaper - Large Size, Pack of  82 Diapers (L-82) for Kids",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J97K7V5/ref=sr_1_15?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-15
"MamyPoko Pants Standard Diaper - Small size (Pack of 42),Clear",https://www.amazon.in/MamyPoko-Pants-Standard-Diaper-Small/dp/B09NP5MFM6/ref=sr_1_16?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-16
"MamyPoko Pants Extra Absorb Baby Diaper, Extra Large (52 Count)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07T9LBBTH/ref=sr_1_17?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-17
"MamyPoko Pants Extra Absorb Diaper for New Born, suitable for up to 5 Kg of New Born, NB - 1 Size , Pack of 58+2 (NB 1 - 58+2) for Kids",https://www.amazon.in/MamyPoko-Pants-Absorb-Diaper-suitable/dp/B09J96F9K9/ref=sr_1_18?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-18
"MamyPoko Pants Extra Absorb Diaper - Small Size, Pack of  108 Diapers (S-108)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J99KSWD/ref=sr_1_19?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-19
"MamyPoko Pants Extra Absorb Baby Diaper, Small (Pack of 74)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J972RFB/ref=sr_1_20?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-20
"Pampers All round Protection Pants, Medium size baby diapers (MD) 76 Count, Lotion with Aloe Vera",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07719342GEAXD6EZZI61&url=%2FPampers-Diapers-Pants-Medium-Count%2Fdp%2FB07DP24NSR%2Fref%3Dsr_1_21_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-21-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_mtf
"Dabur Baby Super Pants |Small Size Baby Diapers | Natural Skin Protection | Infused with Aloe Vera, Shea Butter & Vitamin E | Insta-Absorb Technology | 12 Hrs Zero Leakage - 42 Packs",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03563171Y7DFHI3G6WQS&url=%2FDiapers-Natural-Protection-Insta-Absorb-Technology%2Fdp%2FB09MTP9NKS%2Fref%3Dsr_1_22_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-22-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_mtf
"LuvLap Baby Diaper Pants Medium (MD) 7-12Kg, with Aloe Vera Lotion for rash protection, with upto 12Hr protection, Pack of 72",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A000548294MW9T4J8MM9&url=%2FLuvLap-Diaper-Medium-7-12Kg-protection%2Fdp%2FB09MVW27M6%2Fref%3Dsr_1_23_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-23-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_mtf
"Huggies Wonder Pants, Extra Large (XL), Size Baby Diaper Pants, 12 - 17 kg, 34 count, with Bubble Bed Technology for comfort",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A100155219VRWVZCSI4A4&url=%2FHuggies-Wonder-Pants-Extra-Diaper%2Fdp%2FB08X3LH1CV%2Fref%3Dsr_1_24_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-24-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_mtf
"MamyPoko Pants Extra Absorb baby Diapers, XXL (15 - 25 kg), Pack of 22",https://www.amazon.in/MamyPoko-Extra-Absorb-Diapers-Count/dp/B0063BKNMU/ref=sr_1_25?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-25
"MamyPoko Pants Extra Absorb Baby Diapers, XXXL (18 - 35 kg), Pack of 7",https://www.amazon.in/MamyPoko-Pant-Style-Diapers-Count/dp/B00ATWNYBQ/ref=sr_1_26?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-26
"MamyPoko Pants Extra Absorb Diaper - Extra Large Size, Pack of  96 Diapers (XL-96) for Kids",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J99JN32/ref=sr_1_27?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-27
"MamyPoko Pants Extra Absorb Diaper - Medium Size, Pack of  46+4 Diapers (M-46+4)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J98C65T/ref=sr_1_28?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-28
"MamyPoko Pants Extra Absorb Baby Diaper, Large (44 Count)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07TFV8C4C/ref=sr_1_29?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-29
